17:48:13.357 2024/01/08 [ODBEdit,ERROR] [system.c:4464:recv_tcp,ERROR] header: recv returned 0, n_received = 0, unexpected connection closure
17:48:13.597 2024/01/08 [ODBEdit,INFO] Server connection broken to 'spa-cdms2.spa.umn.edu:7071'
17:48:13.706 2024/01/08 [ODBEdit,INFO] Program ODBEdit on host spa-cdms2 stopped
17:48:16.158 2024/01/08 [ODBEdit,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 1
17:48:16.167 2024/01/08 [ODBEdit,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
15:50:02.118 2024/01/10 [ODBEdit,ERROR] [midas.c:2325:cm_list_experiments,ERROR] cannot resolve host name 'stop'
12:35:42.166 2024/01/11 [towerfe3_01,ERROR] [system.c:4464:recv_tcp,ERROR] header: recv returned 0, n_received = 0, unexpected connection closure
12:35:42.427 2024/01/11 [towerfe3_01,INFO] Server connection broken to 'spa-cdms2.spa.umn.edu:7071'
12:35:43.037 2024/01/11 [towerfe3_01,INFO] Program towerfe3_01 on host spa-cdms2 stopped
12:35:43.254 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:43.449 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.089 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.170 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.207 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.229 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.246 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.260 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.274 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.288 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.301 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.315 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.329 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.342 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.355 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.368 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.381 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.394 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.408 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.421 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.434 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.447 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.461 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.474 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.487 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.500 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.514 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.527 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.540 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.553 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.566 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.579 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.592 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.605 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.619 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.632 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.646 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.659 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.672 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.685 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.698 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.712 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.725 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.738 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.751 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.765 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.779 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.792 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.805 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.818 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.831 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.845 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.859 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.872 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.885 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.898 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.911 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.924 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.937 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.951 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:44.965 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:44.979 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:44.993 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:45.007 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:45.021 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:45.035 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:45.048 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:45.061 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:45.074 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:45.087 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:45.101 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:45.114 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:45.127 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:45.140 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:45.153 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:45.165 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:45.179 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:45.191 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:45.205 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:45.218 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:45.231 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:45.243 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:45.256 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:45.268 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:45.281 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:45.294 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:45.307 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:45.320 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:45.333 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:45.346 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:45.359 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:45.374 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:45.387 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:45.400 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
12:35:45.413 2024/01/11 [towerfe3_01,ERROR] [odb.c:2346:db_find_key,ERROR] invalid database handle
12:35:45.426 2024/01/11 [towerfe3_01,ERROR] [midas.c:7230:bm_send_event,ERROR] invalid buffer handle 2
12:35:45.439 2024/01/11 [towerfe3_01,ERROR] [odb.c:3475:db_get_value,ERROR] invalid database handle
